date,gdp,unemp,ffr,infl,inv,cons,lab,lab_share,lab_prod,tfp,rr_1,ad
1954.5,9.710873206,5.966666667,0.2575,0.001305349,8.266949732,9.074106359,17.55806496,4.735162825,3.383678145,2.987952086,,
1954.75,9.725377117,5.333333333,0.246666667,0.002742545,8.310683281,9.08292305,17.55523167,4.729306331,3.394877453,3.011605623,,
1955,9.749403537,4.733333333,0.335833333,0.004645134,8.39847632,9.087755024,17.56973976,4.712301134,3.414409713,2.991975225,,
1955.25,9.761520681,4.4,0.375,0.004148678,8.448476782,9.092090027,17.58069612,4.714006654,3.417825039,3.008401677,,
1955.5,9.770413198,4.1,0.485,0.006966313,8.472129715,9.093139367,17.59516227,4.717855807,3.421424755,3.027594247,,
1955.75,9.771554881,4.233333333,0.589166667,0.009858904,8.4805707,9.098210328,17.60406102,4.7207018,3.417792255,2.95647156,,
1956,9.763535592,4.033333333,0.620833333,0.009960903,8.446767294,9.099947214,17.59221081,4.739010281,3.405687287,2.982773672,,
1956.25,9.767725102,4.2,0.673333333,0.005929262,8.428314326,9.102193088,17.59065647,4.747155741,3.41065254,3.061871076,,
1956.5,9.762154376,4.133333333,0.7025,0.012467931,8.418919505,9.098565998,17.59029628,4.749824489,3.410487429,3.036514267,,
1956.75,9.773492756,4.133333333,0.731666667,0.00401399,8.418697062,9.106013322,17.58449889,4.749997538,3.421098043,3.070027728,,
1957,9.77537005,3.933333333,0.733333333,0.013604779,8.412792215,9.102025496,17.58431902,4.741273269,3.432502231,3.113515309,,
1957.25,9.769098649,4.1,0.75,0.006986817,8.398677638,9.101619216,17.57030169,4.749054056,3.428553112,3.177115891,,
1957.5,9.774403399,4.233333333,0.808333333,0.005932114,8.396077208,9.110815021,17.56229035,4.743069525,3.442531245,3.221671912,,
1957.75,9.759443957,4.933333333,0.813333333,0.000691889,8.319748819,9.113180362,17.54574799,4.750637561,3.445883899,3.306153833,,
1958,9.72943174,6.3,0.465833333,0.010756827,8.246626479,9.103943208,17.52172996,4.760993751,3.432049845,3.318087475,,
1958.25,9.732105936,7.366666667,0.235,0.002919347,8.217978203,9.114066228,17.51892342,4.749409049,3.451002903,3.326114576,,
1958.5,9.750685962,7.333333333,0.330833333,0.006059875,8.276652687,9.119574173,17.52640527,4.748551657,3.469634543,3.325305768,,
1958.75,9.76915584,6.366666667,0.540833333,0.004735702,8.346197494,9.119068149,17.53242964,4.731371026,3.486487834,3.3335429,,
1959,9.783859065,5.833333333,0.6425,0.002328861,8.393556683,9.131853828,17.54282047,4.735276971,3.487680842,3.296762364,,
1959.25,9.802285047,5.1,0.770833333,0.001529193,8.447489353,9.140636534,17.55095953,4.731873319,3.497325409,3.297409703,,
1959.5,9.798737961,5.266666667,0.894166667,0.003843226,8.400371019,9.14865027,17.54234858,4.732243269,3.498687003,3.330238293,,
1959.75,9.797182146,5.6,0.9975,0.003949812,8.398815204,9.156627416,17.54442998,4.739910847,3.495446393,3.362023334,,
1960,9.813508139,5.133333333,0.983333333,0.003994679,8.474097364,9.155728102,17.52611905,4.736987611,3.518506231,3.414607069,,
1960.25,9.802119058,5.233333333,0.924166667,0.002533785,8.403752116,9.163460063,17.54350001,4.757006762,3.502820924,3.409413536,,
1960.5,9.802008384,5.533333333,0.734166667,0.003428472,8.383190831,9.155744789,17.54106854,4.753021064,3.508765459,3.427108763,,
1960.75,9.785154366,6.266666667,0.574166667,0.002937916,8.289045138,9.159665833,17.52569139,4.767365563,3.495416057,3.45260317,,
1961,9.788525534,6.8,0.500833333,0.002152982,8.283447637,9.16676835,17.5212876,4.762396132,3.508286403,3.448001448,,
1961.25,9.801510196,7,0.433333333,0.002327178,8.327476921,9.172276342,17.5192639,4.748447681,3.534270336,3.467297183,,
1961.5,9.816348895,6.766666667,0.420833333,0.002559601,8.385057168,9.1700853,17.50971313,4.738319005,3.551139217,3.48676327,,
1961.75,9.83145435,6.2,0.6,0.00314587,8.404337994,9.181366659,17.51458012,4.736698323,3.559653067,3.461194356,,
1962,9.845593574,5.633333333,0.614166667,0.005142615,8.439096506,9.18588117,17.51749026,4.731758783,3.575906705,3.490657148,,
1962.25,9.851088384,5.533333333,0.651666667,0.001649485,8.436394548,9.195236988,17.52131403,4.738879063,3.571896099,3.478081259,,
1962.5,9.859431166,5.566666667,0.711666667,0.002058037,8.440613614,9.199718762,17.52485833,4.728210489,3.588395916,3.514823642,,
1962.75,9.85869937,5.533333333,0.730833333,0.002053811,8.427407643,9.206694133,17.5134941,4.730550952,3.595749396,3.548754946,,
1963,9.866252866,5.766666667,0.741666667,0.00438687,8.459755797,9.206540461,17.51731151,4.732155198,3.598653826,3.544214888,,
1963.25,9.874161723,5.733333333,0.740833333,0.001749374,8.475794781,9.21251321,17.52054873,4.729209168,3.606204117,3.546307317,,
1963.5,9.892123222,5.5,0.8325,0.001339117,8.49375628,9.224643789,17.52183088,4.715386891,3.630455534,3.586223611,,
1963.75,9.894799924,5.566666667,0.863333333,0.008054979,8.504497542,9.223414235,17.52107658,4.721262905,3.629739667,3.584143743,,
1964,9.912546397,5.466666667,0.865833333,0.003169392,8.534220206,9.239201844,17.53802285,4.709313962,3.635979607,3.622472522,,
1964.25,9.920197166,5.2,0.8725,0.002298719,8.537894826,9.252717732,17.54370964,4.711977654,3.641447118,3.602708633,,
1964.5,9.932075009,5,0.864166667,0.003952914,8.553748818,9.264595576,17.54316874,4.70996254,3.65172261,3.626937559,,
1964.75,9.931637596,4.966666667,0.894166667,0.004563613,8.545343235,9.268049218,17.54432077,4.723672963,3.642049867,3.621135802,,
1965,9.952801389,4.9,0.994166667,0.004996036,8.628542419,9.275527558,17.5559834,4.71027767,3.656304608,3.617584828,,
1965.25,9.962652286,4.666666667,1.02,0.004576667,8.627051039,9.287345023,17.55960105,4.710871644,3.660891418,3.625673378,,
1965.5,9.98128158,4.366666667,1.019166667,0.003882189,8.649475404,9.30006297,17.55737702,4.697156667,3.681023678,3.679649489,,
1965.75,10.00079574,4.1,1.041666667,0.006827493,8.665194488,9.319577125,17.56542525,4.691063438,3.698260316,3.695979191,,
1966,10.02238108,3.866666667,1.14,0.006448766,8.72042787,9.329233902,17.56675304,4.69188902,3.711814425,3.716008122,,
1966.25,10.02317988,3.833333333,1.228333333,0.008112851,8.695154422,9.338000865,17.56925629,4.704236937,3.704875827,3.70339854,,
1966.5,10.02853304,3.766666667,1.3525,0.009627556,8.692931795,9.339377882,17.56903973,4.707699698,3.70814272,3.709172157,,
1966.75,10.03363824,3.7,1.390833333,0.008348742,8.694227462,9.340491056,17.56794344,4.703394298,3.714303506,3.731819205,,
1967,10.04002692,3.833333333,1.205833333,0.004148378,8.665661126,9.348877739,17.55634934,4.704046726,3.722169152,3.777405309,,
1967.25,10.03814956,3.833333333,0.9975,0.005094528,8.651855195,9.356930946,17.55889471,4.710826658,3.725862088,3.802487118,,
1967.5,10.04477008,3.8,0.973333333,0.009529205,8.662467738,9.359591066,17.56291904,4.7105837,3.730956661,3.793295774,,
1967.75,10.04949085,3.9,1.043333333,0.011064974,8.679069835,9.360335687,17.56789321,4.711716998,3.733828919,3.813417402,,
1968,10.06756027,3.733333333,1.1975,0.010995707,8.70498244,9.376411096,17.56115804,4.705748284,3.755930441,3.8450816,,
1968.25,10.08184292,3.566666667,1.495833333,0.010517187,8.730915704,9.388695741,17.57128174,4.701725045,3.7652153,3.858411236,,
1968.5,10.08685023,3.533333333,1.486666667,0.00974771,8.724272399,9.399685125,17.568367,4.711105536,3.765655293,3.854870474,,
1968.75,10.08805658,3.4,1.479166667,0.0140201,8.729377388,9.400891473,17.56876141,4.719489452,3.763221327,3.844172339,,
1969,10.1015184,3.4,1.641666667,0.010263654,8.77349295,9.408371222,17.57365657,4.713324795,3.771150447,3.840795496,-0.24526549,
1969.25,10.10229743,3.433333333,2.081666667,0.012658709,8.759062555,9.415132318,17.57660514,4.726413893,3.762942782,3.824393255,0.58851657,
1969.5,10.10606098,3.566666667,2.245833333,0.013949532,8.758987334,9.418895873,17.57654529,4.733176343,3.764033308,3.81996254,0.51913821,
1969.75,10.09823163,3.566666667,2.235,0.012805009,8.723865839,9.426845941,17.57611026,4.747068974,3.759011676,3.815622231,0.14714671,
1970,10.09427319,4.166666667,2.143333333,0.013959768,8.687776119,9.432624674,17.57094146,4.751190763,3.762060211,3.840097266,-0.65963701,
1970.25,10.09257782,4.766666667,1.971666667,0.013860268,8.690154073,9.430929303,17.55521247,4.737697325,3.776569767,3.877742071,-0.02406602,
1970.5,10.09835508,5.166666667,1.676666667,0.008169716,8.69185801,9.438642674,17.54831157,4.733114751,3.792135256,3.906004933,-0.99756538,
1970.75,10.08414105,5.833333333,1.391666667,0.013152076,8.627424227,9.441686986,17.54529823,4.737688566,3.78289334,3.903587527,-0.58402335,
1971,10.10785595,5.933333333,0.964166667,0.015039232,8.733490158,9.438425295,17.54227639,4.718525657,3.812092167,3.928486731,-0.77179544,
1971.25,10.11037976,5.9,1.141666667,0.013053509,8.755584069,9.442900329,17.54123147,4.718177391,3.814917214,3.929273359,0.8060988,
1971.5,10.11548926,6.033333333,1.369166667,0.010138113,8.768415615,9.444103575,17.54823321,4.713118351,3.824371424,3.971234865,-0.11703265,
1971.75,10.11476093,5.933333333,1.1875,0.008305659,8.756081737,9.455048527,17.55844737,4.724889124,3.815666278,3.943763891,-1.583165,
1972,10.13058328,5.766666667,0.886666667,0.015085706,8.794982037,9.459197595,17.56987698,4.724720548,3.831181646,3.951195641,-0.06818728,
1972.25,10.15066008,5.7,1.075,0.006208559,8.837616182,9.47338625,17.57355061,4.712902886,3.850721905,3.964568016,-0.26899001,
1972.5,10.15747064,5.566666667,1.185833333,0.009535133,8.855517426,9.484126086,17.57579166,4.714284647,3.856489154,3.976077034,0,
1972.75,10.17145149,5.366666667,1.286666667,0.012642815,8.87316801,9.498106941,17.58222406,4.718400652,3.864952362,3.992680908,0.00926985,
1973,10.19372885,4.933333333,1.634166667,0.011460735,8.924328238,9.506563739,17.59149984,4.716264233,3.887340893,4.012275497,0.56926885,
1973.25,10.20233209,4.933333333,1.954166667,0.01525443,8.940023711,9.513176933,17.5973949,4.718704207,3.887771296,4.001543731,0.66346977,
1973.5,10.19458877,4.8,2.64,0.019310945,8.903604592,9.517314942,17.5985026,4.732481021,3.878321434,3.9831802,-0.1379882,
1973.75,10.20159014,4.766666667,2.499166667,0.019721876,8.91785237,9.518393293,17.60379706,4.735496448,3.872054813,3.988335688,-1.1080757,
1974,10.19091959,5.133333333,2.330833333,0.018692852,8.862894141,9.52344016,17.59954794,4.738065126,3.869637289,3.973588361,0.7276556,
1974.25,10.19114462,5.2,2.8125,0.023350588,8.866885654,9.529496111,17.59595666,4.730789107,3.866607142,3.98810403,1.0582328,
1974.5,10.1791097,5.633333333,3.0225,0.028875853,8.835874824,9.527104458,17.59192099,4.739692338,3.85627771,3.957617593,-0.54251636,
1974.75,10.17263644,6.6,2.336666667,0.02897927,8.806144708,9.518709974,17.57232383,4.727998252,3.865182939,3.983971505,-0.17601167,
1975,10.1583623,8.266666667,1.575833333,0.02247676,8.701645477,9.519703307,17.55133543,4.717927279,3.872616675,4.028471818,-0.60945371,
1975.25,10.16307874,8.866666667,1.355,0.014765071,8.693402775,9.530085487,17.54971128,4.708015541,3.888426792,4.047034552,-0.33116529,
1975.5,10.17709606,8.466666667,1.54,0.017514875,8.75413771,9.534641989,17.55938533,4.698241498,3.900577758,4.039932374,-0.1802546,
1975.75,10.18787671,8.3,1.353333333,0.016592006,8.777289656,9.541613115,17.56630105,4.699170417,3.901669593,4.02056346,-0.20080652,
1976,10.20798987,7.733333333,1.206666667,0.010511169,8.849310674,9.554063401,17.58261104,4.69217323,3.916393441,4.022445687,-0.79870315,
1976.25,10.21317571,7.566666667,1.299166667,0.010017316,8.881369529,9.559249238,17.58022505,4.690540217,3.925590549,4.037156736,-0.19628434,
1976.5,10.21606953,7.733333333,1.320833333,0.012833141,8.884263357,9.569805939,17.58268096,4.695120573,3.927994775,4.03569975,-0.16406607,
1976.75,10.22063134,7.766666667,1.218333333,0.017781173,8.896372365,9.576274319,17.58487708,4.695093154,3.930923265,4.053001599,-0.1420563,
1977,10.23005374,7.5,1.165,0.015972712,8.931770259,9.585696727,17.59231941,4.69349237,3.937339813,4.064572404,-0.40944483,
1977.25,10.24689994,7.133333333,1.289166667,0.014003661,8.981051728,9.59104854,17.6041065,4.693455751,3.941426456,4.053262117,-0.24522328,
1977.5,10.26196587,6.9,1.455,0.012083199,9.013692806,9.598377491,17.60718722,4.689263142,3.951858914,4.083620599,-0.13594057,
1977.75,10.259167,6.666666667,1.628333333,0.02137684,9.014372202,9.605240534,17.61794557,4.701988319,3.938957007,4.062036568,-0.19597303,
1978,10.26000748,6.333333333,1.689166667,0.014452081,9.011734421,9.615650468,17.61513609,4.715950985,3.939424142,4.077664554,-0.05723155,
1978.25,10.2953945,6,1.820833333,0.018940769,9.074614573,9.627915062,17.63833964,4.695467824,3.959002007,4.076901649,-0.04148069,
1978.5,10.30246499,6.033333333,2.025,0.016814642,9.08506917,9.631079306,17.63725706,4.694992608,3.959574307,4.077791649,-0.36178727,
1978.75,10.31291148,5.9,2.395833333,0.020268181,9.102249688,9.635637649,17.64251563,4.693263477,3.96607549,4.074524435,0.25913838,
1979,10.31214755,5.866666667,2.518333333,0.018051518,9.094751727,9.642716898,17.6446495,4.71160912,3.956939008,4.06988109,-0.01890217,
1979.25,10.31061794,5.7,2.545,0.024215791,9.086442428,9.647029562,17.63839302,4.708556755,3.955082495,4.091423634,0.04108413,
1979.5,10.315001,5.866666667,2.736666668,0.021604903,9.083999522,9.657220962,17.64508969,4.71102458,3.953798146,4.068385523,0.85842991,
1979.75,10.31440444,5.966666667,3.394166668,0.018397365,9.059138341,9.666230624,17.64774614,4.717909412,3.952588967,4.065516326,0.04493795,
1980,10.31473591,6.3,3.761666668,0.020790976,9.048887697,9.674181175,17.63743502,4.715664501,3.957321366,4.100616519,1.6080407,
1980.25,10.29112808,7.333333333,3.171666668,0.023510535,8.951717301,9.661894221,17.61612686,4.724773786,3.946810831,4.09004366,-3.9847327,
1980.5,10.28694561,7.666666667,2.459166667,0.022103881,8.908619414,9.668905897,17.61538033,4.730189201,3.950762834,4.08163919,0.97584303,
1980.75,10.30269982,7.4,3.963333333,0.025721916,8.970893643,9.675340379,17.62299515,4.724764913,3.960851264,4.065173185,2.4553966,
1981,10.32005744,7.433333333,4.1425,0.025989539,9.036319668,9.675700424,17.63153625,4.703720565,3.976123931,4.085345862,-0.47610583,
1981.25,10.31035168,7.4,4.445,0.019631154,8.997307782,9.675473409,17.62253281,4.713737554,3.963134283,4.068214459,1.5149078,
1981.5,10.31952986,7.4,4.394166668,0.018632334,9.035792085,9.671356043,17.61361247,4.70568498,3.972497028,4.104171123,-0.65150372,
1981.75,10.30598158,8.233333333,3.396666668,0.017134359,8.989213286,9.671103312,17.60754389,4.714472921,3.961936348,4.096675178,-0.83024832,
1982,10.28820559,8.833333333,3.556666668,0.01367364,8.921713854,9.670165879,17.59657551,4.732727519,3.957053731,4.104995967,0.58638753,
1982.25,10.29055105,9.433333333,3.628333333,0.012915385,8.916185261,9.670654333,17.59977872,4.727414367,3.957264022,4.092801706,-0.05561013,
1982.5,10.28414754,9.9,2.751666668,0.0140856,8.901845202,9.677178057,17.59684292,4.728846931,3.959002007,4.081596989,-0.40750841,
1982.75,10.28209521,10.66666667,2.321666667,0.01029548,8.850803479,9.689697929,17.58872881,4.723930522,3.967344177,4.084841215,0.53300493,-0.01192331
1983,10.29316197,10.36666667,2.163333333,0.007513663,8.866045619,9.697141505,17.59170482,4.716899379,3.980279606,4.078426879,0.32963756,0.047269464
1983.25,10.31360847,10.13333333,2.200833333,0.007418212,8.939242682,9.71212848,17.60642966,4.70026216,4.001717446,4.072780384,-0.01874941,0.027573794
1983.5,10.33094244,9.366666667,2.365,0.010566965,8.98001522,9.72763596,17.62473886,4.686519732,4.006314485,4.052436909,-0.24233576,-0.008880753
1983.75,10.34923051,8.533333333,2.3575,0.00755747,9.050947023,9.73674123,17.63249876,4.687192471,4.011687329,4.054910493,0.32599049,-0.028557156
1984,10.36668683,7.866666667,2.421666667,0.010071626,9.118413771,9.739327395,17.6432397,4.691953204,4.015499748,4.069026754,0.15644843,-0.010537669
1984.25,10.38180032,7.433333333,2.639166668,0.008509391,9.140471724,9.750688525,17.65823835,4.68780952,4.021397454,4.083704827,0.17324327,-0.016989996
1984.5,10.38893383,7.433333333,2.8475,0.008851959,9.147605237,9.75594057,17.65116099,4.689520526,4.02579802,4.090545689,0.26552891,0.08362633
1984.75,10.39470213,7.3,2.316666667,0.00744809,9.139436032,9.765468276,17.65464859,4.691292835,4.026904057,4.097049235,-0.6539676,-0.342131203
1985,10.40247336,7.233333333,2.119166667,0.009839103,9.122339196,9.778852244,17.66044262,4.689658382,4.02987715,4.11618759,0.0435235,0.011963139
1985.25,10.40912977,7.3,1.980833333,0.006420212,9.13616409,9.787372581,17.6549727,4.689989161,4.032947767,4.110012838,-0.10394844,-0.059734845
1985.5,10.42171571,7.2,1.975,0.006013732,9.137977937,9.799958525,17.66117823,4.6847297,4.045574398,4.121959729,0.24662485,0.066675704
1985.75,10.42661717,7.033333333,2.025833333,0.005577951,9.150073674,9.808577463,17.66223282,4.697238754,4.049591239,4.116350642,0.05537063,-0.000505288
1986,10.43393932,7.033333333,1.956666667,0.004968369,9.15739582,9.817753178,17.66370488,4.694517167,4.061408062,4.131560061,-0.10995812,-0.002004336
1986.25,10.43631926,7.166666667,1.73,0.003773215,9.156185091,9.816422538,17.66244009,4.697421146,4.069266042,4.145116888,0.28262134,0.030454046
1986.5,10.443367,6.966666667,1.551666667,0.004100061,9.163232831,9.819745879,17.66178173,4.70416448,4.07354644,4.146620707,-0.40039002,-0.126960766
1986.75,10.44633496,6.833333333,1.566666667,0.005422881,9.158980549,9.828295254,17.66647614,4.715691362,4.071468216,4.142737822,-0.06065667,0.041799582
1987,10.45181125,6.6,1.555,0.00633409,9.153527769,9.841165294,17.67604655,4.7189452,4.066853454,4.125358616,0.36685299,0.034284787
1987.25,10.46044266,6.266666667,1.6625,0.006910902,9.162159177,9.851636629,17.68005397,4.713970778,4.073529423,4.142658423,0.23837619,0.044313763
1987.5,10.46661147,6,1.710833333,0.007528002,9.168327982,9.857805433,17.68301749,4.716165795,4.073665551,4.147885329,-0.20870671,-0.067785082
1987.75,10.48116776,5.833333333,1.729166667,0.007940143,9.204624266,9.863128055,17.69020112,4.714992732,4.083452121,4.150291594,-0.26547176,-0.038399719
1988,10.48433352,5.7,1.665833333,0.007808761,9.182380307,9.875527488,17.68438617,4.721939375,4.086984208,4.172655001,-0.20625113,-0.00136361
1988.25,10.49529391,5.466666667,1.789166667,0.009693019,9.189657447,9.884647946,17.69248269,4.722357489,4.089583245,4.177037601,0.49598352,0.07672394
1988.5,10.49852564,5.466666667,1.995833333,0.011876161,9.178019019,9.897045648,17.69189429,4.720354292,4.092175545,4.183080146,-0.24878885,-0.013876609
